keypoint,x,y,action
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,323,176,1
F,309,232,1
G,332,233,1
H,228,243,1
I,335,241,1
J,309,247,1
K,408,302,1
L,311,294,1
M,331,293,1
N,311,352,1
O,323,350,1
P,320,416,1
Q,327,416,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,323,176,1
F,309,232,1
G,332,233,1
H,228,243,1
I,335,241,1
J,309,247,1
K,408,302,1
L,311,294,1
M,331,293,1
N,311,352,1
O,323,350,1
P,320,416,1
Q,327,416,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,323,176,1
F,309,232,1
G,332,233,1
H,228,243,1
I,335,241,1
J,309,247,1
K,408,302,1
L,311,294,1
M,331,293,1
N,311,352,1
O,323,350,1
P,320,416,1
Q,327,416,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,323,176,1
F,309,232,1
G,332,233,1
H,228,243,1
I,335,241,1
J,309,247,1
K,408,302,1
L,311,294,1
M,331,293,1
N,311,352,1
O,323,350,1
P,320,416,1
Q,327,416,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,323,176,1
F,309,232,1
G,332,233,1
H,228,243,1
I,335,241,1
J,309,247,1
K,408,302,1
L,311,294,1
M,331,293,1
N,311,352,1
O,323,350,1
P,320,416,1
Q,327,416,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,323,176,1
F,309,232,1
G,332,233,1
H,228,243,1
I,335,241,1
J,309,247,1
K,408,302,1
L,311,294,1
M,331,293,1
N,311,352,1
O,323,350,1
P,320,416,1
Q,327,416,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,323,176,1
F,309,232,1
G,332,233,1
H,228,243,1
I,335,241,1
J,309,247,1
K,408,302,1
L,311,294,1
M,331,293,1
N,311,352,1
O,323,350,1
P,320,416,1
Q,327,416,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,323,176,1
F,309,232,1
G,332,233,1
H,228,243,1
I,335,241,1
J,309,247,1
K,408,302,1
L,311,294,1
M,331,293,1
N,311,352,1
O,323,350,1
P,320,416,1
Q,327,416,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,323,176,1
F,309,232,1
G,332,233,1
H,228,243,1
I,335,241,1
J,309,247,1
K,408,302,1
L,311,294,1
M,331,293,1
N,311,352,1
O,323,350,1
P,320,416,1
Q,327,416,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,74,313,1
G,0,0,1
H,100,311,1
I,0,0,1
J,0,0,1
K,0,0,1
L,75,349,1
M,85,354,1
N,77,361,1
O,80,360,1
P,76,415,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,74,313,1
G,0,0,1
H,100,311,1
I,0,0,1
J,0,0,1
K,0,0,1
L,75,349,1
M,85,354,1
N,77,361,1
O,80,360,1
P,76,415,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,74,313,1
G,0,0,1
H,100,311,1
