A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,477,367
B,482,352
C,332,357
D,641,273
E,175,371
F,641,454
G,315,634
H,787,543
I,0,0
J,640,445
K,0,0
L,0,0
M,0,0
N,0,0
O,0,0
P,0,0
Q,0,0
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
A,321,118
B,324,114
C,318,114
D,0,0
E,308,75
F,325,127
G,208,5
H,334,184
I,108,132
J,424,53
K,226,228
L,313,226
M,216,228
N,320,354
O,215,355
P,318,468
Q,222,472
