keypoint,x,y,action
A,315,66,0
B,320,55,0
C,305,57,0
D,323,54,0
E,243,50,0
F,337,110,0
G,222,107,0
H,395,187,0
I,145,171,0
J,644,346,0
K,161,220,0
L,325,244,0
M,231,243,0
N,412,314,0
O,241,342,0
P,325,487,0
Q,226,491,0
A,315,66,0
B,320,55,0
C,305,57,0
D,323,54,0
E,243,50,0
F,337,110,0
G,222,107,0
H,395,187,0
I,145,171,0
J,644,346,0
K,161,220,0
L,325,244,0
M,231,243,0
N,412,314,0
O,241,342,0
P,325,487,0
Q,226,491,0
A,315,66,0
B,320,55,0
C,305,57,0
D,323,54,0
E,243,50,0
F,337,110,0
G,222,107,0
H,395,187,0
I,145,171,0
J,644,346,0
K,161,220,0
L,325,244,0
M,231,243,0
N,412,314,0
O,241,342,0
P,325,487,0
Q,226,491,0
A,315,66,0
B,320,55,0
C,305,57,0
D,323,54,0
E,243,50,0
F,337,110,0
G,222,107,0
H,395,187,0
I,145,171,0
J,644,346,0
K,161,220,0
L,325,244,0
M,231,243,0
N,412,314,0
O,241,342,0
P,325,487,0
Q,226,491,0
A,315,66,0
B,320,55,0
C,305,57,0
D,323,54,0
E,243,50,0
F,337,110,0
G,222,107,0
H,395,187,0
I,145,171,0
J,644,346,0
K,161,220,0
L,325,244,0
M,231,243,0
N,412,314,0
O,241,342,0
P,325,487,0
Q,226,491,0
A,315,66,0
B,320,55,0
C,305,57,0
D,323,54,0
E,243,50,0
F,337,110,0
G,222,107,0
H,395,187,0
I,145,171,0
J,644,346,0
K,161,220,0
L,325,244,0
M,231,243,0
N,412,314,0
O,241,342,0
P,325,487,0
Q,226,491,0
A,315,66,0
B,320,55,0
C,305,57,0
D,323,54,0
E,243,50,0
F,337,110,0
G,222,107,0
H,395,187,0
I,145,171,0
J,644,346,0
K,161,220,0
L,325,244,0
M,231,243,0
N,412,314,0
O,241,342,0
P,325,487,0
Q,226,491,0
A,315,66,0
B,320,55,0
C,305,57,0
D,323,54,0
E,243,50,0
F,337,110,0
G,222,107,0
H,395,187,0
I,145,171,0
J,644,346,0
K,161,220,0
L,325,244,0
M,231,243,0
N,412,314,0
O,241,342,0
P,325,487,0
Q,226,491,0
A,315,66,0
B,320,55,0
C,305,57,0
D,323,54,0
E,243,50,0
F,337,110,0
G,222,107,0
H,395,187,0
I,145,171,0
J,644,346,0
K,161,220,0
L,325,244,0
M,231,243,0
N,412,314,0
O,241,342,0
P,325,487,0
Q,226,491,0
A,324,110,0
B,328,74,0
C,316,72,0
D,324,126,0
E,249,73,0
F,327,176,0
G,169,166,0
H,415,250,0
I,5,230,0
J,550,172,0
