keypoint,x,y
A,1284,183
B,155,255
C,653,281
D,652,356
E,1274,179
F,959,259
G,790,369
H,649,440
I,1106,349
J,650,444
K,1111,368
L,791,460
M,789,459
N,798,542
O,650,539
P,1114,630
Q,1114,630
A,1284,183
B,155,255
C,653,281
D,652,356
E,1274,179
F,959,259
G,790,369
H,649,440
I,1106,349
J,650,444
K,1111,368
L,791,460
M,789,459
N,798,542
O,650,539
P,1114,630
Q,1114,630
A,1284,183
B,155,255
C,653,281
D,652,356
E,1274,179
F,959,259
G,790,369
H,649,440
I,1106,349
J,650,444
K,1111,368
L,791,460
M,789,459
N,798,542
O,650,539
P,1114,630
Q,1114,630
A,1284,183
B,155,255
C,653,281
D,652,356
E,1274,179
F,959,259
G,790,369
H,649,440
I,1106,349
J,650,444
K,1111,368
L,791,460
M,789,459
N,798,542
O,650,539
P,1114,630
Q,1114,630
A,1284,183
B,155,255
C,653,281
D,652,356
E,1274,179
F,959,259
G,790,369
H,649,440
I,1106,349
J,650,444
K,1111,368
L,791,460
M,789,459
N,798,542
O,650,539
P,1114,630
Q,1114,630
A,1284,183
B,155,255
C,653,281
D,652,356
E,1274,179
F,959,259
G,790,369
H,649,440
I,1106,349
J,650,444
K,1111,368
L,791,460
M,789,459
N,798,542
O,650,539
P,1114,630
Q,1114,630
A,1284,183
B,155,255
C,653,281
D,652,356
E,1274,179
F,959,259
G,790,369
H,649,440
I,1106,349
J,650,444
K,1111,368
L,791,460
M,789,459
N,798,542
O,650,539
P,1114,630
Q,1114,630
A,1284,183
B,155,255
C,653,281
D,652,356
E,1274,179
F,959,259
G,790,369
H,649,440
I,1106,349
J,650,444
K,1111,368
L,791,460
M,789,459
N,798,542
O,650,539
P,1114,630
Q,1114,630
A,1284,183
B,155,255
C,653,281
D,652,356
E,1274,179
F,959,259
G,790,369
H,649,440
I,1106,349
J,650,444
K,1111,368
L,791,460
M,789,459
N,798,542
O,650,539
P,1114,630
Q,1114,630
A,0,0
B,0,0
C,0,0
D,0,0
E,0,0
F,103,198
G,90,211
H,327,211
I,314,239
J,0,0
K,0,0
L,333,236
M,377,220
N,263,63
O,265,62
P,222,145
Q,377,72
A,0,0
B,0,0
C,0,0
D,0,0
E,0,0
F,103,198
G,90,211
H,327,211
I,314,239
J,0,0
K,0,0
L,333,236
M,377,220
N,263,63
O,265,62
P,222,145
Q,377,72
A,0,0
B,0,0
C,0,0
D,0,0
E,0,0
F,103,198
G,90,211
H,327,211
I,314,239
J,0,0
K,0,0
L,333,236
M,377,220
N,263,63
O,265,62
P,222,145
Q,377,72
A,0,0
B,0,0
C,0,0
D,0,0
E,0,0
F,103,198
G,90,211
H,327,211
I,314,239
J,0,0
K,0,0
L,333,236
M,377,220
N,263,63
O,265,62
P,222,145
Q,377,72
A,0,0
B,0,0
C,0,0
D,0,0
E,0,0
F,103,198
G,90,211
H,327,211
I,314,239
J,0,0
K,0,0
L,333,236
M,377,220
N,263,63
O,265,62
P,222,145
Q,377,72
A,0,0
B,0,0
C,0,0
D,0,0
E,0,0
F,103,198
G,90,211
H,327,211
I,314,239
J,0,0
K,0,0
L,333,236
M,377,220
N,263,63
O,265,62
P,222,145
Q,377,72
A,0,0
B,0,0
C,0,0
D,0,0
E,0,0
F,103,198
G,90,211
H,327,211
I,314,239
J,0,0
K,0,0
L,333,236
M,377,220
N,263,63
O,265,62
P,222,145
Q,377,72
A,0,0
B,0,0
C,0,0
D,0,0
E,0,0
F,103,198
G,90,211
H,327,211
I,314,239
J,0,0
K,0,0
L,333,236
M,377,220
N,263,63
O,265,62
P,222,145
Q,377,72
A,0,0
B,0,0
C,0,0
D,0,0
E,0,0
F,103,198
G,90,211
H,327,211
I,314,239
J,0,0
K,0,0
L,333,236
M,377,220
N,263,63
O,265,62
P,222,145
Q,377,72
A,1434,275
B,1206,276
C,1435,273
D,1211,1
E,1429,271
F,1192,262
G,1208,263
H,1192,274
I,1433,399
J,1910,5
K,1196,534
L,1434,0
M,1202,399
N,1432,137
O,1429,137
P,962,530
Q,1445,541
A,1434,275
B,1206,276
C,1435,273
D,1211,1
